1414456976672,2597	2410	2273	1213	983	2302	2370	2446	1898	1502	1385	1324	

1414456976686,1702	1831	2598	2413	2276	1210	983	2304	2368	2444	1897	1504	1385	1325	

1414456976704,1704	1829	2598	2410	2275	1213	985	2307	2368	2446	1904	1499	1387	1324	

1414456976721,1701	1829	2596	2410	2272	1213	983	2303	2369	2447	1898	1502	1385	1324	

1414456976736,1701	1830	2597	2412	2276	1210	983	2300	2366	2442	1896	1504	1385	1325	

1414456976753,1704	1830	2598	2408	2267	1213	985	2302	2373	2444	1898	1501	1387	1324	

1414456976772,1702	1828	2597	2409	2273	1213	983	2300	2368	2451	1898	1502	0	1893	1498	1385	1321	

1414456976788,1704	1838	2606	2411	2288	1215	967	2309	2381	2449	1892	1497	1375	1320	

1414456976807,1704	1837	2602	2415	2289	1214	958	2311	2382	2450	1892	1495	1376	1322	

1414456976823,1706	1838	2604	2414	2288	1215	965	2309	2385	2448	1892	1498	1385	1321	

1414456976840,1703	1836	2605	2411	2288	1218	960	2313	2380	2449	1896	1499	1384	1320	

1414456976857,1711	1840	2604	2419	2289	1214	957	2305	2378	2451	1892	1496	1384	1321	

1414456976873,1704	1835	2603	2411	2288	1211	962	2306	2382	2451	1895	1500	1385	1321	

1414456976889,1710	1840	2607	2415	2294	1213	973	2308	2376	2452	1888	1496	1384	1320	

1414456976942,1699	1824	2598	2400	2274	1213	982	2304	2366	2446	1892	1500	1385	1321	

1414456977011,1711	1840	2603	2414	2289	1211	974	2304	2377	2450	1900	1500	1385	1323	

1414456977088,1709	1837	2604	2412	2287	1213	974	2308	2377	2452	1891	1495	1384	1320	

1414456977156,1697	1824	2600	2403	2274	1213	981	2297	2363	2426	1882	1502	1392	1321	

1414456977242,1703	1834	2599	2407	2284	1211	976	2302	2371	2449	1904	1498	1384	1322	

1414456977329,1700	1826	2597	2402	2284	1213	982	2306	2365	2440	1893	1500	1385	1321	

1414456977398,1701	1828	2601	2407	2278	1213	981	2306	2366	2451	1902	1498	1383	1323	

1414456977483,1703	1835	2599	2409	2285	1211	977	2304	2371	2449	1903	1499	1385	1320	

1414456977553,1703	1829	2601	2408	2285	1213	977	2309	2371	2452	1901	1496	1383	1319	

1414456977629,1702	1836	2604	2414	2285	1215	967	2304	2375	2451	1903	1497	1383	1321	

1414456977712,1703	1834	2603	2413	2285	1211	973	2306	2381	2450	1901	1500	1384	1320	

1414456977781,1676	1800	2541	2361	2230	1218	986	2253	2301	2361	1847	1480	1386	1327	

1414456977868,1674	1797	2533	2344	2218	1232	1012	2244	2304	2378	1855	1481	1388	1325	

1414456977955,1678	1809	2545	2365	2236	1214	986	2257	2318	2399	1874	1482	1392	1327	

1414456978023,1681	1816	2555	2367	2237	1212	985	2260	2328	2390	1864	1484	1385	1326	

1414456978108,1676	1801	2536	2357	2232	1214	988	2251	2304	2381	1853	1480	1389	1328	

1414456978193,1683	1813	2545	2355	2225	1229	1018	2254	2330	2395	1866	1487	1385	1326	

1414456978243,1688	1823	2570	2389	2262	1211	983	2276	2340	2421	1877	1485	1388	1321	

1414456978327,1672	1792	2517	2338	2202	1241	1022	2229	2291	2363	1844	1482	1394	1328	

1414456978412,1676	1807	2548	2360	2237	1215	984	2262	2324	2399	1875	1486	1393	1325	

1414456978516,1682	1817	2559	2370	2244	1212	985	2261	2337	2394	1866	1488	1386	1324	

1414456978573,1710	1814	2416	2265	2155	1281	1074	2302	2361	2454	1898	1497	1384	1320	

1414456978656,1703	1837	2601	2407	2284	1211	977	2304	2380	2448	1900	1499	1386	1322	

1414456978724,1702	1837	2604	2413	2287	1217	962	2311	2381	2447	1897	1502	1386	1319	

1414456978807,1710	1842	2612	2414	2289	1212	957	2306	2376	2451	1893	1488	1377	1320	

1414456978892,1427	1512	2147	1928	1765	1040	866	1937	2264	2486	1911	1505	1377	1308	

